path,label
C:\Users\Administrateur\Documents\P2M\dataset\septembre\maycem\septembre-maycem-25.jpg,septembre
C:\Users\Administrateur\Documents\P2M\dataset\psychologie\eya\psychologie-eya-21.jpg,psychologie
C:\Users\Administrateur\Documents\P2M\dataset\jadda\emna\jadda-emna-27.jpg,jadda
C:\Users\Administrateur\Documents\P2M\dataset\dance\eya\dance-eya-20.jpg,dance
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\maycem\kahwa-maycem-26.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\entendant\emna\entendant-emna-25.jpg,entendant
C:\Users\Administrateur\Documents\P2M\dataset\handicap\eya\handicap-eya-34.jpg,handicap
C:\Users\Administrateur\Documents\P2M\dataset\université\emna\université-emna-15.jpg,université
C:\Users\Administrateur\Documents\P2M\dataset\carta\maycem\carta-maycem-28.jpg,carta
C:\Users\Administrateur\Documents\P2M\dataset\help\eya\help-eya-16.jpg,help
C:\Users\Administrateur\Documents\P2M\dataset\esm\emna\esm-emna-12.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\entendant\emna\entendant-emna-11.jpg,entendant
C:\Users\Administrateur\Documents\P2M\dataset\entikhabet\eya\entikhabet-eya-28.jpg,entikhabet
C:\Users\Administrateur\Documents\P2M\dataset\jadda\emna\jadda-emna-31.jpg,jadda
C:\Users\Administrateur\Documents\P2M\dataset\faux\maycem\faux-maycem-19.jpg,faux
C:\Users\Administrateur\Documents\P2M\dataset\centre\emna\centre-emna-22.jpg,centre
C:\Users\Administrateur\Documents\P2M\dataset\faux\maycem\faux-maycem-2.jpg,faux
C:\Users\Administrateur\Documents\P2M\dataset\psychologie\eya\psychologie-eya-18.jpg,psychologie
C:\Users\Administrateur\Documents\P2M\dataset\jadda\maycem\jadda-maycem-7.jpg,jadda
C:\Users\Administrateur\Documents\P2M\dataset\objectif\eya\objectif-eya-11.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\maycem\kahwa-maycem-33.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\armée\maycem\armée-maycem-9.jpg,armée
C:\Users\Administrateur\Documents\P2M\dataset\officiel\emna\officiel-emna-20.jpg,officiel
C:\Users\Administrateur\Documents\P2M\dataset\labes\eya\labes-eya-8.jpg,labes
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\yasmine\kahwa-yasmine-28.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\armée\yasmine\armée-yasmine-1.jpg,armée
C:\Users\Administrateur\Documents\P2M\dataset\esm\maycem\esm-maycem-15.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\jadda\yasmine\jadda-yasmine-22.jpg,jadda
C:\Users\Administrateur\Documents\P2M\dataset\dance\maycem\dance-maycem-1.jpg,dance
C:\Users\Administrateur\Documents\P2M\dataset\baladiya\emna\baladiya-emna-15.jpg,baladiya
C:\Users\Administrateur\Documents\P2M\dataset\taxi\maycem\taxi-maycem-18.jpg,taxi
C:\Users\Administrateur\Documents\P2M\dataset\objectif\emna\objectif-emna-24.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\esm\emna\esm-emna-14.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\sponsor\mayecm\sponsor-mayecm-5.jpg,sponsor
C:\Users\Administrateur\Documents\P2M\dataset\sœur\maycem\sœur-maycem-25.jpg,sœur
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\maycem\kahwa-maycem-32.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\entikhabet\maycem\entikhabet-maycem-19.jpg,entikhabet
C:\Users\Administrateur\Documents\P2M\dataset\sponsor\emna\sponsor-emna-1.jpg,sponsor
C:\Users\Administrateur\Documents\P2M\dataset\sœur\maycem\sœur-maycem-31.jpg,sœur
C:\Users\Administrateur\Documents\P2M\dataset\taxi\yasmine\taxi-yasmine-13.jpg,taxi
C:\Users\Administrateur\Documents\P2M\dataset\carta\maycem\carta-maycem-13.jpg,carta
C:\Users\Administrateur\Documents\P2M\dataset\labes\emna\labes-emna-25.jpg,labes
C:\Users\Administrateur\Documents\P2M\dataset\armée\yasmine\armée-yasmine-27.jpg,armée
C:\Users\Administrateur\Documents\P2M\dataset\esm\emna\esm-emna-26.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\maman\emna\maman-emna-20.jpg,maman
C:\Users\Administrateur\Documents\P2M\dataset\maman\emna\maman-emna-16.jpg,maman
C:\Users\Administrateur\Documents\P2M\dataset\dar\emna\dar-emna-24.jpg,dar
C:\Users\Administrateur\Documents\P2M\dataset\entendant\eya\entendant-eya-14.jpg,entendant
C:\Users\Administrateur\Documents\P2M\dataset\help\maycem\help-maycem-18.jpg,help
C:\Users\Administrateur\Documents\P2M\dataset\centre\eya\centre-eya-37.jpg,centre
C:\Users\Administrateur\Documents\P2M\dataset\sœur\yasmine\sœur-yasmine-21.jpg,sœur
C:\Users\Administrateur\Documents\P2M\dataset\help\emna\help-emna-12.jpg,help
C:\Users\Administrateur\Documents\P2M\dataset\centre\eya\centre-eya-20.jpg,centre
C:\Users\Administrateur\Documents\P2M\dataset\taxi\emna\taxi-emna-8.jpg,taxi
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\emna\kahwa-emna-15.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\officiel\yasmine\officiel-yasmine-2.jpg,officiel
C:\Users\Administrateur\Documents\P2M\dataset\esm\emna\esm-emna-24.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\esm\yasmine\esm-yasmine-4.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\yasmine\kahwa-yasmine-15.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\entikhabet\eya\entikhabet-eya-5.jpg,entikhabet
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\yasmine\kahwa-yasmine-1.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\esm\emna\esm-emna-31.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\esm\emna\esm-emna-4.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\objectif\maycem\objectif-maycem-6.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\taxi\yasmine\taxi-yasmine-12.jpg,taxi
C:\Users\Administrateur\Documents\P2M\dataset\entikhabet\eya\entikhabet-eya-2.jpg,entikhabet
C:\Users\Administrateur\Documents\P2M\dataset\entendant\emna\entendant-emna-24.jpg,entendant
C:\Users\Administrateur\Documents\P2M\dataset\objectif\emna\objectif-emna-5.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\baladiya\emna\baladiya-emna-6.jpg,baladiya
C:\Users\Administrateur\Documents\P2M\dataset\handicap\eya\handicap-eya-33.jpg,handicap
C:\Users\Administrateur\Documents\P2M\dataset\help\maycem\help-maycem-17.jpg,help
C:\Users\Administrateur\Documents\P2M\dataset\sponsor\yasmine\sponsor-yasmine-11.jpg,sponsor
C:\Users\Administrateur\Documents\P2M\dataset\dance\maycem\dance-maycem-4.jpg,dance
C:\Users\Administrateur\Documents\P2M\dataset\directeur\maycem\directeur-maycem-27.jpg,directeur
C:\Users\Administrateur\Documents\P2M\dataset\handicap\maycem\handicap-maycem-32.jpg,handicap
C:\Users\Administrateur\Documents\P2M\dataset\handicap\eya\handicap-eya-15.jpg,handicap
C:\Users\Administrateur\Documents\P2M\dataset\sponsor\yasmine\sponsor-yasmine-6.jpg,sponsor
C:\Users\Administrateur\Documents\P2M\dataset\maman\yasmine\maman-yasmine-2.jpg,maman
C:\Users\Administrateur\Documents\P2M\dataset\handicap\eya\handicap-eya-18.jpg,handicap
C:\Users\Administrateur\Documents\P2M\dataset\maman\yasmine\maman-yasmine-15.jpg,maman
C:\Users\Administrateur\Documents\P2M\dataset\baladiya\maycem\baladiya-maycem-15.jpg,baladiya
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\emna\kahwa-emna-21.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\sponsor\mayecm\sponsor-mayecm-30.jpg,sponsor
C:\Users\Administrateur\Documents\P2M\dataset\septembre\maycem\septembre-maycem-34.jpg,septembre
C:\Users\Administrateur\Documents\P2M\dataset\psychologie\eya\psychologie-eya-37.jpg,psychologie
C:\Users\Administrateur\Documents\P2M\dataset\sponsor\emna\sponsor-emna-6.jpg,sponsor
C:\Users\Administrateur\Documents\P2M\dataset\esm\maycem\esm-maycem-18.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\septembre\maycem\septembre-maycem-33.jpg,septembre
C:\Users\Administrateur\Documents\P2M\dataset\help\maycem\help-maycem-26.jpg,help
C:\Users\Administrateur\Documents\P2M\dataset\faux\maycem\faux-maycem-12.jpg,faux
C:\Users\Administrateur\Documents\P2M\dataset\armée\yasmine\armée-yasmine-24.jpg,armée
C:\Users\Administrateur\Documents\P2M\dataset\taxi\emna\taxi-emna-2.jpg,taxi
C:\Users\Administrateur\Documents\P2M\dataset\objectif\maycem\objectif-maycem-23.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\yasmine\kahwa-yasmine-4.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\objectif\maycem\objectif-maycem-27.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\emna\kahwa-emna-8.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\emna\kahwa-emna-14.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\sponsor\mayecm\sponsor-mayecm-23.jpg,sponsor
C:\Users\Administrateur\Documents\P2M\dataset\maman\maycem\maman-maycem-12.jpg,maman
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\emna\kahwa-emna-26.jpg,kahwa
C:\Users\Administrateur\Documents\P2M\dataset\esm\yasmine\esm-yasmine-36.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\dar\eya\dar-eya-28.jpg,dar
C:\Users\Administrateur\Documents\P2M\dataset\maman\yasmine\maman-yasmine-9.jpg,maman
C:\Users\Administrateur\Documents\P2M\dataset\travailler\emna\travailler-emna-16.jpg,travailler
C:\Users\Administrateur\Documents\P2M\dataset\jadda\maycem\jadda-maycem-17.jpg,jadda
C:\Users\Administrateur\Documents\P2M\dataset\psychologie\eya\psychologie-eya-27.jpg,psychologie
C:\Users\Administrateur\Documents\P2M\dataset\psychologie\emna\psychologie-emna-24.jpg,psychologie
C:\Users\Administrateur\Documents\P2M\dataset\objectif\eya\objectif-eya-22.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\sœur\maycem\sœur-maycem-13.jpg,sœur
C:\Users\Administrateur\Documents\P2M\dataset\directeur\yasmine\directeur-yasmine-2.jpg,directeur
C:\Users\Administrateur\Documents\P2M\dataset\carta\maycem\carta-maycem-7.jpg,carta
C:\Users\Administrateur\Documents\P2M\dataset\esm\emna\esm-emna-20.jpg,esm
C:\Users\Administrateur\Documents\P2M\dataset\objectif\emna\objectif-emna-29.jpg,objectif
C:\Users\Administrateur\Documents\P2M\dataset\kahwa\yasmine\kahwa-yasmine-3.jpg,kahwa
